                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9375,                 2.2677,                 1.8882,                0.06769,                0.12912,                0.03762,                0.01207,                 2.3495,                 12.973,                 2.2551,             0.00066489,             0.00066489,             0.00066489
                      2,                  1.995,                 2.2395,                   1.93,                0.14512,                0.11435,                0.06965,                0.02416,                  2.346,                 4.3069,                 2.1979,              0.0012876,              0.0012876,              0.0012876
                      3,                 1.9526,                 2.1462,                 1.8864,                 0.3623,                 0.3404,                0.25044,                0.08901,                 2.1103,                  2.157,                 1.9081,              0.0018663,              0.0018663,              0.0018663
                      4,                 1.8983,                 2.0639,                 1.8248,                0.37094,                 0.3688,                0.26171,                0.10727,                 1.9302,                 2.0815,                 1.7625,               0.001802,               0.001802,               0.001802
                      5,                 1.8396,                 1.9707,                 1.7779,                0.38904,                0.36388,                 0.3268,                0.14338,                 1.8559,                 2.0147,                 1.6892,               0.001802,               0.001802,               0.001802
                      6,                 1.8191,                 1.8968,                 1.7554,                0.47338,                0.39493,                0.38678,                0.16685,                 1.8695,                 1.9266,                 1.7418,               0.001736,               0.001736,               0.001736
                      7,                  1.789,                 1.8467,                 1.7404,                0.47233,                0.40553,                0.40148,                0.18319,                 1.7979,                 1.8493,                  1.693,                0.00167,                0.00167,                0.00167
                      8,                  1.758,                 1.8136,                 1.7124,                0.49104,                0.40856,                0.40543,                0.17412,                 1.8688,                 1.8134,                 1.7164,               0.001604,               0.001604,               0.001604
                      9,                 1.7295,                 1.7549,                 1.6895,                0.46089,                0.42825,                0.41867,                0.19855,                 1.7803,                 1.8174,                 1.6488,               0.001538,               0.001538,               0.001538
                     10,                 1.7073,                 1.7114,                  1.675,                0.51751,                0.41537,                0.44601,                0.21201,                 1.7574,                 1.7215,                 1.6353,               0.001472,               0.001472,               0.001472
                     11,                 1.6949,                 1.6835,                 1.6641,                0.51755,                0.41348,                0.44487,                0.21889,                 1.7316,                 1.6733,                 1.6026,               0.001406,               0.001406,               0.001406
                     12,                 1.6772,                  1.644,                 1.6523,                0.51447,                0.41575,                0.45042,                0.20664,                 1.7963,                 1.7093,                 1.6588,                0.00134,                0.00134,                0.00134
                     13,                 1.6662,                 1.5904,                 1.6426,                0.54569,                0.44907,                0.48626,                0.23538,                 1.6998,                 1.6055,                 1.5971,               0.001274,               0.001274,               0.001274
                     14,                 1.6441,                 1.5626,                 1.6196,                0.55003,                0.45437,                0.48904,                0.23933,                 1.6876,                 1.5783,                 1.5725,               0.001208,               0.001208,               0.001208
                     15,                 1.6401,                 1.5664,                 1.6264,                0.52965,                0.45967,                0.50247,                0.25911,                 1.6337,                 1.5211,                 1.5245,               0.001142,               0.001142,               0.001142
                     16,                 1.6179,                 1.5253,                 1.6144,                0.54599,                0.48504,                0.49628,                0.23442,                 1.7154,                 1.5607,                 1.6222,               0.001076,               0.001076,               0.001076
                     17,                 1.6004,                 1.4986,                 1.6038,                0.55062,                0.49337,                0.52079,                0.26182,                 1.6525,                 1.4985,                 1.5643,                0.00101,                0.00101,                0.00101
                     18,                 1.5838,                 1.4878,                  1.592,                0.58606,                0.46611,                0.52577,                0.27002,                 1.6235,                 1.4731,                 1.5335,               0.000944,               0.000944,               0.000944
                     19,                 1.5677,                 1.4251,                 1.5691,                0.56225,                0.50384,                0.53691,                0.27045,                 1.6485,                  1.465,                 1.5563,               0.000878,               0.000878,               0.000878
                     20,                 1.5648,                 1.4242,                 1.5699,                0.58505,                 0.5017,                0.55719,                 0.2877,                 1.5707,                 1.4092,                  1.484,               0.000812,               0.000812,               0.000812
                     21,                 1.5855,                 1.3655,                 1.6061,                 0.5733,                0.47709,                0.52612,                0.27355,                 1.6099,                 1.4741,                 1.5352,               0.000746,               0.000746,               0.000746
                     22,                 1.5576,                 1.3303,                 1.5926,                0.54273,                 0.5036,                0.53339,                0.27431,                 1.6243,                 1.4487,                 1.5415,                0.00068,                0.00068,                0.00068
                     23,                 1.5456,                 1.2925,                 1.5833,                0.56217,                0.50663,                0.54585,                0.28293,                 1.6172,                 1.4216,                 1.5416,               0.000614,               0.000614,               0.000614
                     24,                 1.5204,                 1.2639,                 1.5585,                0.58924,                0.49072,                0.55296,                 0.2892,                 1.5826,                 1.3955,                 1.5066,               0.000548,               0.000548,               0.000548
                     25,                 1.5016,                 1.2204,                 1.5467,                 0.5904,                0.49565,                0.56019,                0.29586,                 1.5571,                 1.3691,                 1.4874,               0.000482,               0.000482,               0.000482
                     26,                 1.4766,                 1.1968,                 1.5262,                0.58511,                0.50322,                0.55828,                0.29533,                 1.5855,                 1.3683,                 1.5144,               0.000416,               0.000416,               0.000416
                     27,                 1.4485,                 1.1616,                 1.5075,                0.59141,                0.52594,                0.57189,                0.29744,                 1.5929,                 1.3429,                 1.5384,                0.00035,                0.00035,                0.00035
                     28,                 1.4347,                  1.132,                 1.4958,                0.59767,                0.54373,                0.59109,                0.30706,                 1.5798,                 1.3151,                 1.5126,               0.000284,               0.000284,               0.000284
                     29,                 1.4203,                  1.126,                 1.4873,                 0.5916,                0.53389,                 0.5773,                0.30266,                 1.5731,                 1.3253,                  1.519,               0.000218,               0.000218,               0.000218
                     30,                 1.4032,                 1.0928,                 1.4713,                0.60424,                 0.5354,                0.58581,                0.30973,                 1.5614,                 1.3016,                 1.4902,               0.000152,               0.000152,               0.000152
