                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8368,                 2.5019,                 1.8724,                0.36978,                0.33594,                0.29768,                0.12994,                 1.9434,                 2.0954,                 1.9675,             0.00055418,             0.00055418,             0.00055418
                      2,                 1.7877,                   2.09,                 1.8119,                0.42483,                0.38536,                0.35222,                0.15337,                 1.9305,                 2.0208,                 1.9393,              0.0010732,              0.0010732,              0.0010732
                      3,                 1.7717,                 2.0608,                 1.7957,                0.48106,                0.38352,                0.38019,                0.17213,                 1.8964,                 1.8941,                 1.9014,              0.0015556,              0.0015556,              0.0015556
                      4,                 1.7496,                 1.9789,                  1.769,                0.50742,                0.36854,                0.37325,                0.16255,                 1.9137,                 1.9331,                 1.8997,               0.001502,               0.001502,               0.001502
                      5,                 1.7303,                 1.9483,                  1.754,                0.51756,                0.39904,                0.41689,                0.18813,                 1.8783,                 1.8485,                 1.8823,               0.001502,               0.001502,               0.001502
                      6,                 1.6926,                 1.8604,                 1.7234,                0.51713,                0.41247,                0.42627,                0.19392,                  1.842,                 1.7945,                 1.8615,               0.001447,               0.001447,               0.001447
                      7,                 1.6784,                 1.8309,                 1.7107,                0.51655,                0.43064,                0.44178,                0.19916,                 1.8974,                 1.7297,                 1.8767,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.6224,                 1.7603,                 1.6685,                0.55107,                 0.4273,                0.45278,                0.20991,                 1.8795,                 1.7289,                 1.8908,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.6046,                 1.7206,                 1.6533,                0.56799,                0.43016,                0.46862,                0.22452,                 1.8249,                 1.6902,                 1.8357,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.5881,                 1.6742,                 1.6356,                  0.526,                0.44575,                 0.4559,                0.21137,                 1.8482,                 1.7186,                 1.8386,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.5526,                 1.6329,                 1.6165,                0.60232,                0.43159,                0.47158,                 0.2238,                 1.8499,                 1.6541,                  1.844,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.5337,                 1.5857,                 1.5938,                0.61609,                0.41586,                0.46874,                 0.2265,                 1.8074,                 1.6384,                   1.81,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.5172,                  1.561,                 1.5891,                0.56808,                0.46049,                0.48746,                 0.2332,                 1.8055,                 1.6268,                 1.7987,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.4957,                 1.5372,                 1.5681,                0.58039,                0.43587,                0.48252,                0.23803,                 1.8316,                 1.6194,                 1.8291,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.4728,                 1.5046,                 1.5534,                0.62998,                0.45977,                0.50068,                0.24587,                 1.7938,                 1.5627,                 1.7954,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.4649,                 1.4506,                 1.5361,                0.61059,                0.47058,                 0.5105,                0.25519,                 1.7828,                 1.5336,                 1.7856,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.4294,                 1.4165,                 1.5116,                0.63162,                0.45722,                0.52074,                0.25417,                 1.8002,                 1.5216,                 1.8158,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.4193,                 1.3786,                 1.5043,                0.63279,                0.47417,                0.52242,                0.26151,                 1.7881,                 1.5028,                 1.7868,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.3862,                  1.341,                 1.4863,                0.63293,                0.46939,                0.52172,                0.25554,                 1.7862,                 1.5264,                   1.78,             0.00073181,             0.00073181,             0.00073181
